Fecha,Abrir,Máx,Mín,Cierre,Cierre Ajustado,Volumen
18 ago 2023,"172,30","175,10","171,96","174,49","174,26",61.114.200
17 ago 2023,"177,14","177,51","173,48","174,00","173,77",66.062.900
16 ago 2023,"177,13","178,54","176,50","176,57","176,34",46.964.900
15 ago 2023,"178,88","179,48","177,05","177,45","177,22",43.622.600
14 ago 2023,"177,97","179,69","177,31","179,46","179,22",43.675.600
11 ago 2023,"177,32","178,62","176,55","177,79","177,56",51.988.100
10 ago 2023,"179,48","180,75","177,60","177,97","177,50",54.686.900
09 ago 2023,"180,87","180,93","177,01","178,19","177,72",60.378.500
08 ago 2023,"179,69","180,27","177,58","179,80","179,32",67.823.000
07 ago 2023,"182,13","183,13","177,35","178,85","178,37",97.576.100
04 ago 2023,"185,52","187,38","181,92","181,99","181,51",115.799.700
03 ago 2023,"191,57","192,37","190,69","191,17","190,66",61.235.200
02 ago 2023,"195,04","195,18","191,85","192,58","192,07",50.389.300
01 ago 2023,"196,24","196,73","195,28","195,61","195,09",35.175.100
31 jul 2023,"196,06","196,49","195,26","196,45","195,93",38.824.100
28 jul 2023,"194,67","196,63","194,14","195,83","195,31",48.291.400
27 jul 2023,"196,02","197,20","192,55","193,22","192,71",47.460.200
26 jul 2023,"193,67","195,64","193,32","194,50","193,98",47.471.900
25 jul 2023,"193,33","194,44","192,92","193,62","193,10",37.283.200
24 jul 2023,"193,41","194,91","192,25","192,75","192,24",45.377.800
21 jul 2023,"194,10","194,97","191,23","191,94","191,43",71.917.800
20 jul 2023,"195,09","196,47","192,50","193,13","192,62",59.581.200
19 jul 2023,"193,10","198,23","192,65","195,10","194,58",80.507.300
18 jul 2023,"193,35","194,33","192,42","193,73","193,21",48.353.800
17 jul 2023,"191,90","194,32","191,81","193,99","193,47",50.520.200
14 jul 2023,"190,23","191,18","189,63","190,69","190,18",41.573.900
13 jul 2023,"190,50","191,19","189,78","190,54","190,03",41.342.300
12 jul 2023,"189,68","191,70","188,47","189,77","189,26",60.750.200
11 jul 2023,"189,16","189,30","186,60","188,08","187,58",46.638.100
10 jul 2023,"189,26","189,99","187,04","188,61","188,11",59.922.200
07 jul 2023,"191,41","192,67","190,24","190,68","190,17",46.778.000
06 jul 2023,"189,84","192,02","189,20","191,81","191,30",45.094.300
05 jul 2023,"191,57","192,98","190,62","191,33","190,82",46.920.300
03 jul 2023,"193,78","193,88","191,76","192,46","191,95",31.458.200
30 jun 2023,"191,63","194,48","191,26","193,97","193,45",85.069.600
29 jun 2023,"189,08","190,07","188,94","189,59","189,09",46.347.300
28 jun 2023,"187,93","189,90","187,60","189,25","188,75",51.216.800
27 jun 2023,"185,89","188,39","185,67","188,06","187,56",50.730.800
26 jun 2023,"186,83","188,05","185,23","185,27","184,78",48.088.700
